spectral_radius,equilibrium,validation,convergence_rate
0.8289885157895179,"[5.49658352e-83 4.93076646e-83 5.87082704e-83 4.03190555e-83
 4.66713484e-83 6.02177565e-83 5.27450491e-83 3.71577046e-83
 4.33494247e-83 4.60319725e-83 5.23485773e-83 4.06646694e-83
 5.37760435e-83 3.51385051e-83 3.73822505e-83 4.22732299e-83
 4.48685328e-83 5.81509813e-83 4.41447320e-83 3.71105601e-83]",True,88
0.937316938529331,"[4.59595757e-30 5.01212708e-30 4.22701602e-30 3.98422977e-30
 4.54652416e-30 4.06958508e-30 4.02842967e-30 4.78979822e-30
 4.25488318e-30 5.22216125e-30 4.22985253e-30 4.94890320e-30
 5.51131053e-30 5.01778129e-30 5.16011914e-30 4.85113723e-30
 4.16874362e-30 3.88839334e-30 4.71350769e-30 5.41854018e-30]",True,223
0.8775244600968413,"[8.08258715e-58 1.02746013e-58 1.20113751e-58 2.78710071e-58
 1.82134383e-58 9.86178956e-59 2.95049302e-58 1.48795348e-58
 9.79054415e-59 3.95546723e-58 2.36369295e-58 8.50192589e-58
 1.08023847e-58 4.19113638e-58 2.12088479e-58 1.21943160e-58
 1.31031837e-58 8.95433670e-58 6.80565583e-58 1.66168285e-58]",True,127
0.8467095751269955,"[7.30712023e-74 6.01503056e-74 6.05735460e-74 5.82341034e-74
 7.69472250e-74 4.76940240e-74 6.17724984e-74 6.43279916e-74
 5.23315805e-74 7.12446723e-74 7.10323847e-74 5.30498877e-74
 7.00119605e-74 5.06156891e-74 8.54140394e-74 6.32897349e-74
 5.27789905e-74 9.18172767e-74 7.41622978e-74 6.40178240e-74]",True,97
0.8903250263140907,"[9.81627288e-53 1.29861026e-52 1.44903897e-52 6.69843245e-53
 3.66183114e-52 6.98368906e-53 1.43954131e-51 1.17628341e-52
 1.24837604e-52 6.40235184e-52 1.65764167e-52 7.13398467e-53
 1.10700462e-52 7.95054037e-53 1.60894317e-52 1.72858918e-52
 3.20499317e-51 3.62639423e-52 8.82886928e-53 2.24612882e-52]",True,141
0.8858192772036995,"[7.55476530e-54 1.17919904e-54 1.32840713e-54 4.05959241e-54
 3.83302970e-54 5.81565872e-54 2.16244616e-54 7.83101898e-54
 2.12830253e-54 1.26060986e-54 9.59412103e-55 1.60609173e-54
 2.15248090e-54 5.54089273e-54 4.59251067e-54 1.03394512e-53
 2.09640959e-54 7.99570373e-54 2.25065265e-54 4.14269327e-54]",True,135
0.9236268373343322,"[3.54274615e-38 4.66760939e-39 4.08151209e-38 3.09539103e-38
 5.11926713e-38 4.34650621e-39 1.58398061e-38 1.07550751e-38
 9.15069626e-39 3.80482852e-36 5.73500310e-39 2.21904101e-38
 8.18810125e-40 2.85646212e-38 2.06293984e-38 4.32680377e-38
 9.24034193e-38 1.13883227e-39 2.36960755e-38 4.94142494e-37]",True,175
0.8413468449057487,"[1.09524872e-76 1.09211097e-76 1.56012706e-76 2.35515221e-76
 1.93916322e-76 1.64850459e-76 1.17013060e-76 9.33656971e-77
 1.24407370e-76 9.07296860e-77 1.21575679e-76 1.14456039e-76
 1.48753730e-76 1.80042454e-76 8.27780116e-77 1.12867105e-76
 2.15655845e-76 1.08043644e-76 1.88254358e-76 8.86513147e-77]",True,95
0.8956812004630705,"[1.25596751e-49 1.48478605e-49 1.56325392e-49 1.85271850e-49
 1.10167700e-49 1.34975981e-49 1.20254851e-49 1.63452210e-49
 1.52374373e-49 1.40219173e-49 1.41556681e-49 1.39451012e-49
 1.43320927e-49 1.21934779e-49 1.54770566e-49 1.42989637e-49
 1.15060435e-49 1.11272386e-49 1.73351011e-49 1.36060333e-49]",True,141
0.8063349896697874,"[4.25994809e-95 2.92226637e-95 2.85619305e-95 4.03601862e-95
 1.26213476e-94 4.78970182e-95 2.53732709e-95 5.30838270e-95
 5.95614081e-95 6.45353245e-95 4.67624509e-95 3.07532803e-95
 4.97380038e-95 1.06037119e-94 3.85869430e-95 5.82328558e-95
 2.66043549e-95 5.92440947e-95 1.71920673e-94 3.54718599e-95]",True,79
