label,spectral_radius_1,spectral_radius_2,equilibrium_1,equilibrium_2,validation
4.1,1.172337099427352,1.1384060438254644,"[0.11511293 0.01382639 0.36981919 0.04281891 0.64444277 0.18507472
 0.26165905 0.65447985 0.8169227  0.20677171 0.07297905 0.15271908
 0.10373422 0.19584194 0.10241009 0.14935087 0.16714043 0.19218772
 0.00430009 0.02839296]","[0.57212914 0.94643379 0.0644457  0.0696601  0.18550903 0.03924009
 0.07622571 0.04192877 0.02898637 0.01404299 0.02376426 0.029682
 0.02013904 0.04550657 0.22703501 0.11330056 0.00855553 0.08362944
 0.21236727 0.27687282]",
4.1,1.0894675455842535,1.1087598340451812,"[0.34767368 0.01054595 0.04935738 0.09921029 0.39487387 0.13307696
 0.29355595 0.18000225 0.08556951 0.51571253 0.11311547 0.03258254
 0.44204448 0.10201455 0.03672853 0.09393504 0.04943185 0.09752051
 0.26224431 0.00306457]","[0.01855553 0.08652309 0.1666588  0.10153647 0.05508879 0.0609963
 0.09638668 0.18213653 0.05834418 0.01203016 0.04947705 0.54357191
 0.04043671 0.16912295 0.0785773  0.05685687 0.20694907 0.09938571
 0.00344503 0.04243171]",
4.1,1.1501846809420264,1.0845379830714603,"[0.01229792 0.09194064 0.17853356 0.17657887 0.21137778 0.00898799
 0.17089426 0.0465991  0.53643193 0.01334846 0.11543973 0.05942831
 0.28281484 0.07254617 0.93017361 0.08075986 0.19491031 0.02597675
 0.0470468  0.01216018]","[0.00333399 0.26959078 0.23753273 0.00075913 0.07237284 0.04414701
 0.05308026 0.11243554 0.06456695 0.21926124 0.08171007 0.25030445
 0.02095985 0.0389296  0.00390986 0.31426343 0.08970293 0.10138319
 0.01202624 0.05424524]",
4.1,1.06129562903882,1.144219549894589,"[2.35740098e-05 2.04431282e-06 2.43270345e-05 1.00489293e-05
 9.93313739e-05 3.48966177e-05 9.06398058e-05 6.42953409e-05
 8.02497173e-05 2.47327943e-05 4.42969734e-05 7.90091726e-05
 3.24781091e-05 6.32920526e-05 1.44114979e-05 5.56059222e-05
 1.08114651e-04 1.32982755e-05 8.81145546e-06 5.38579794e-05]","[0.51688107 0.13848478 0.78570919 0.21248804 0.04204314 0.23808871
 0.0721965  0.13097177 0.51582202 0.11478492 0.08632712 0.13853979
 0.13268892 0.41465686 0.33224752 0.18726406 0.17574625 0.20751547
 0.34743383 0.22991241]",
3.1,1.2278556270976098,0.9575858281928025,"[0.39997263 0.3583523  0.19625006 0.44748262 0.72723202 0.21998117
 0.16678109 0.64555734 0.49112837 0.45852381 0.42009764 0.02421705
 0.14260862 0.21484627 0.32242007 0.29100822 0.68883122 0.45636615
 0.24236949 0.39970931]","[9.23278138e-59 1.41504681e-58 2.47181933e-58 2.35992299e-59
 9.57730309e-58 5.68708963e-59 1.43583547e-58 4.96812010e-59
 2.76643916e-58 4.25186531e-59 2.02618996e-58 1.02782554e-57
 5.17692168e-59 1.14249559e-58 1.08605205e-58 2.78869212e-59
 1.20002665e-58 1.48923815e-58 1.91614777e-59 8.11424868e-59]",True
4.1,1.1892227181142982,1.3125418733807759,"[9.03449481e-10 1.69002304e-08 4.28780647e-08 1.19693765e-07
 5.98312326e-08 6.88484555e-08 2.56933756e-08 4.55291401e-09
 1.30306232e-08 5.98191027e-09 1.40366370e-08 3.61746036e-08
 2.77699001e-09 1.44326635e-08 5.86707438e-09 2.61427127e-08
 3.23911297e-08 6.41233420e-09 1.18132024e-08 9.48926227e-09]","[0.09748731 0.82529322 0.52912474 0.5307521  0.55190073 0.05135735
 0.03141624 0.80790926 0.33556071 0.23656413 0.47147453 0.6138734
 0.17761009 0.39053146 0.77576344 0.28129196 0.31180896 0.66455246
 0.43048296 0.63498931]",
4.1,1.1714135974611841,1.1688098260237325,"[0.77930907 0.08422162 0.046664   0.26474406 0.06480239 0.13111704
 0.14321446 0.22408886 0.10026773 0.12724124 0.07312539 0.08377707
 0.04564231 0.13294582 0.15489328 0.46369663 0.7729826  0.0097552
 0.11662308 0.098065  ]","[0.01083341 0.54409537 0.45116951 0.11023026 0.1827587  0.29478316
 0.12602197 0.21946795 0.08950459 0.0425598  0.30652245 0.21663125
 0.29871803 0.04476338 0.20569557 0.01800994 0.04748605 0.23568956
 0.11189562 0.14297716]",
4.1,1.1518273725087225,1.157666438027119,"[0.08254806 0.13400177 0.0174223  0.01823112 0.09404698 0.08519445
 0.05795269 0.66874513 0.07566162 0.04014206 0.0541329  0.52051966
 0.20589991 0.05581134 0.04716811 0.06704484 0.29268851 0.18640365
 0.02064009 0.2611367 ]","[3.80935039e-01 6.06782965e-02 1.19709621e-01 8.14173131e-03
 1.17917914e-01 4.59075153e-02 2.23592220e-04 8.20244282e-02
 1.26453815e-01 6.29772801e-02 5.56879385e-02 3.85064762e-03
 2.64423900e-01 5.99185335e-01 4.80834143e-01 3.00065911e-01
 1.48389944e-01 3.90482801e-04 2.14979220e-02 2.93801137e-02]",
3.1,1.221216590537642,0.9267075660933503,"[0.27548398 0.10455896 0.33584098 0.768545   0.03052647 0.27249857
 0.828377   0.06969253 0.05246771 0.86913083 0.19812171 0.25675985
 0.59348428 0.09070592 0.04194647 0.38601752 0.26975303 0.35180215
 0.34531661 0.17921274]","[2.43612057e-100 1.57781115e-099 1.43365730e-099 2.64626657e-100
 1.51749766e-099 2.26256974e-100 5.23249280e-101 5.01303478e-100
 2.20327960e-100 4.99759418e-100 3.56941816e-100 4.19937317e-100
 2.24384796e-100 3.82874896e-100 2.42871211e-101 9.88319023e-100
 3.91673342e-100 4.19720454e-100 1.13645092e-099 2.44766568e-100]",True
4.1,1.1333713398200034,1.1363391881953706,"[0.0177585  0.00601561 0.04673916 0.03688921 0.1381638  0.01517433
 0.0141477  0.23047327 0.01216478 0.02978078 0.03147253 0.03242496
 0.01807127 0.01493362 0.09338108 0.02128342 0.0366703  0.02842118
 0.02059178 0.17046347]","[0.06728369 0.23742066 0.31211261 0.06517276 0.13434315 0.07652849
 0.72425415 0.21176774 0.84642361 0.12335628 0.14380458 0.35831474
 0.03980897 0.14372527 0.19231054 0.29612659 0.27230528 0.467463
 0.17363987 0.08134543]",
