spectral_radius,equilibrium,validation
1.0876447150247304,"[0.252705   0.09771318 0.06977821 0.30260072 0.31220254 0.3942141
 0.09611318 0.30714623 0.41871991 0.17011556 0.39932878 0.10867046
 0.26754254 0.13963108 0.11138807 0.2623804  0.06828828 0.7844194
 0.12640153 0.1131075 ]",True
1.0812791489700935,"[0.37127812 0.15626473 0.09160779 0.42380934 0.19599944 0.19696867
 0.14427141 0.12591406 0.14047298 0.23901987 0.16038572 0.09008947
 0.55437102 0.08893737 0.16088695 0.27325307 0.10798001 0.33197493
 0.09701743 0.24800642]",True
1.191219734832459,"[0.29932928 0.19813534 0.2636407  0.27456094 0.17612979 0.2272462
 0.16574887 0.26863199 0.25682082 0.19302589 0.1832543  0.18384823
 0.16995591 0.90052795 0.1489721  0.28310301 0.561217   0.22105096
 0.20535153 0.52272362]",True
0.962140772023707,"[3.44208857e-19 6.39913290e-19 4.36189398e-19 1.31694412e-18
 1.33574216e-18 4.11153724e-19 1.31741580e-18 7.28414497e-18
 1.04666349e-18 8.28849977e-19 2.94815767e-19 4.54906614e-19
 3.00702039e-19 8.79099915e-19 3.45310721e-19 6.20535333e-19
 7.22049830e-19 1.55251267e-18 1.64179170e-18 3.10011338e-18]",True
1.105757196447499,"[0.09213411 0.07733511 0.20335305 0.06480103 0.1058436  0.0981339
 0.14189139 0.11394002 0.18454858 0.10150517 0.0729969  0.12266884
 0.95609292 0.10321745 0.21150287 0.09578211 0.53118322 0.17276018
 0.19815398 0.14289361]",True
1.0118856704953463,"[0.03990932 0.01325168 0.01392676 0.01677605 0.02277496 0.03523692
 0.03937585 0.02121134 0.01883274 0.01309349 0.01176415 0.02236864
 0.01607306 0.16372211 0.00974276 0.19246234 0.01971571 0.02037459
 0.03361107 0.02358095]",True
1.1356188738654,"[0.32209302 0.18351414 0.1237244  0.15627204 0.5234953  0.37466875
 0.19660959 0.1972964  0.14211231 0.27674503 0.13573252 0.20082475
 0.16948627 0.24988329 0.13740582 0.47495844 0.87233501 0.16615835
 0.11428512 0.16463306]",True
1.0552659651813965,"[0.17707115 0.26606145 0.20916757 0.11500752 0.36910385 0.10836539
 0.05530247 0.06529188 0.21569489 0.05470394 0.12942569 0.58062482
 0.36782264 0.07901188 0.06128416 0.07625595 0.5611119  0.08311954
 0.15418839 0.12345227]",True
0.9350236932627165,"[6.26813217e-32 5.60743388e-32 4.37105103e-31 1.03494984e-30
 3.75618711e-32 5.14849909e-32 1.05278106e-31 1.35582255e-31
 4.69670207e-32 3.97892858e-31 5.64427883e-32 8.68188957e-32
 2.75911634e-30 2.31332119e-30 8.46728758e-31 3.57436926e-32
 7.86381699e-32 4.29451920e-32 8.17577779e-31 4.10891317e-32]",True
0.9665693068729482,"[3.36411959e-18 1.31851980e-17 3.83527349e-19 1.95937759e-18
 1.19266964e-18 3.30518636e-18 8.91280129e-20 3.07625902e-19
 2.48040549e-18 1.66449048e-18 1.61301386e-18 8.12057111e-19
 4.03449537e-19 5.81660578e-20 8.55860720e-19 1.30294788e-18
 1.42269818e-15 2.46993138e-18 4.06082025e-19 1.38239259e-18]",True
0.8789649884626165,"[3.17086615e-58 3.21920180e-58 4.28764408e-57 3.09818521e-58
 3.53238897e-57 1.19831297e-58 2.80521779e-58 1.54850378e-58
 3.03644219e-58 2.60973005e-58 2.81482051e-58 3.44365939e-58
 2.05408501e-58 1.99208108e-58 2.25266497e-58 2.19364107e-58
 4.68982772e-58 6.24585621e-58 3.42267002e-58 2.18189536e-58]",True
1.1378249861637477,"[0.55687128 0.65173324 0.1474969  0.17763288 0.10093676 0.5937639
 0.1165893  0.17422906 0.32031906 0.18841662 0.20638262 0.83566475
 0.32359058 0.22628087 0.21914155 0.33457204 0.11813926 0.20281678
 0.25505717 0.81165779]",True
1.3212782921952837,"[0.46013027 0.29763535 0.78266421 0.25826853 0.27970204 0.32992149
 0.41447281 0.6336862  0.46107578 0.47799645 0.75985792 0.30716559
 0.47689567 0.41613946 0.21353513 0.45894401 0.1947375  0.31840746
 0.58150986 0.35721899]",True
0.9988695423130459,"[0.00075366 0.00078832 0.00112723 0.00582957 0.00058527 0.01759505
 0.00043718 0.00078149 0.00074653 0.00124454 0.00068269 0.00120623
 0.00085977 0.00290613 0.01250675 0.0006522  0.00044518 0.00058717
 0.00261883 0.00277344]",False
1.1981641124227917,"[0.9241483  0.2017302  0.2873876  0.44576675 0.30001066 0.33450818
 0.66356241 0.23345882 0.57073496 0.21644612 0.17043214 0.23885821
 0.27210661 0.15029041 0.23029087 0.39979964 0.37164725 0.79236255
 0.3829947  0.22536037]",True
1.2628727271580846,"[0.44134915 0.31759392 0.51146075 0.43393039 0.22558834 0.72322728
 0.47687423 0.74091387 0.2403507  0.25766061 0.21438239 0.90828028
 0.50748483 0.25312028 0.35956736 0.32449724 0.21797208 0.36652689
 0.20985357 0.39450457]",True
1.1327587944549127,"[0.5042217  0.30369625 0.14655526 0.3173657  0.29496806 0.38064074
 0.29926273 0.25608239 0.53024262 0.25587987 0.84101601 0.19684989
 0.16192697 0.17619412 0.60564514 0.24699218 0.37776322 0.12223277
 0.20924603 0.24812563]",True
0.9584510491983947,"[1.86504075e-22 2.13211755e-22 1.51779447e-22 1.69376577e-21
 7.36674865e-22 5.97503563e-22 5.44876685e-23 1.74410307e-21
 9.30861630e-23 8.92688689e-23 1.71341146e-22 2.30789695e-22
 7.07074770e-23 3.07114826e-22 2.91090780e-22 5.74335018e-22
 1.66825517e-22 2.08000778e-22 1.12793702e-22 6.59687572e-20]",True
0.9735087286280274,"[1.04389915e-14 3.39494453e-15 1.25139588e-14 5.51644170e-14
 4.64803366e-15 3.19017697e-14 4.14738625e-15 1.45730089e-14
 1.20520178e-14 8.10115476e-13 1.62406502e-14 1.06977183e-14
 3.86510147e-15 8.40681290e-14 4.81994789e-14 8.14604387e-15
 8.79819832e-14 1.00772174e-14 1.38764884e-14 2.22418138e-14]",True
1.1482294130399378,"[0.26179131 0.11840144 0.14378217 0.88299881 0.24005565 0.28136722
 0.85540948 0.59709629 0.28118132 0.36977682 0.46864599 0.62976392
 0.29684593 0.53075962 0.4584718  0.14297031 0.27882104 0.19552087
 0.16053272 0.3530854 ]",True
